ts_epoch_ms,label,rodada,janela,mean_ax,mean_ay,mean_az,std_ax,std_ay,std_az,std_mag,p2p_mag
1749760284000,inclinado_frente,3,15,0.318,0.069,0.946,0.076,0.088,0.032,0.039,0.184
1749760285000,inclinado_frente,3,16,0.357,-0.038,0.934,0.065,0.034,0.054,0.056,0.299
1749760286000,inclinado_frente,3,17,0.438,-0.01,0.899,0.096,0.034,0.082,0.085,0.406
1749760287000,inclinado_frente,3,18,0.333,-0.037,0.942,0.045,0.067,0.085,0.081,0.385
1749760288000,inclinado_frente,3,19,0.31,0.014,0.951,0.097,0.08,0.074,0.077,0.404
1749760289000,inclinado_frente,3,20,0.438,0.132,0.891,0.061,0.075,0.044,0.049,0.262
1749760290000,inclinado_frente,3,21,0.386,-0.158,0.911,0.071,0.04,0.098,0.093,0.505
1749760291000,inclinado_frente,3,22,0.385,-0.037,0.922,0.042,0.045,0.036,0.037,0.172
1749760292000,inclinado_frente,3,23,0.38,0.134,0.917,0.035,0.039,0.088,0.082,0.415
1749760293000,inclinado_frente,3,24,0.427,0.003,0.904,0.092,0.075,0.067,0.072,0.374
1749760294000,inclinado_frente,3,25,0.39,0.064,0.919,0.063,0.042,0.086,0.083,0.393
1749760295000,inclinado_frente,3,26,0.398,0.103,0.913,0.089,0.053,0.078,0.08,0.427
1749760296000,inclinado_frente,3,27,0.386,0.022,0.922,0.052,0.045,0.078,0.075,0.405
1749760297000,inclinado_frente,3,28,0.381,-0.039,0.924,0.05,0.069,0.074,0.071,0.361
1749760298000,inclinado_frente,3,29,0.356,0.005,0.934,0.079,0.077,0.078,0.078,0.356
1749760299000,inclinado_frente,3,30,0.355,-0.01,0.935,0.036,0.046,0.061,0.058,0.306
1749760300000,inclinado_tras,3,1,-0.451,0.005,0.893,0.063,0.065,0.073,0.071,0.388
1749760301000,inclinado_tras,3,2,-0.506,0.015,0.863,0.072,0.082,0.035,0.047,0.238
1749760302000,inclinado_tras,3,3,-0.57,-0.069,0.82,0.065,0.063,0.097,0.088,0.435
1749760303000,inclinado_tras,3,4,-0.403,0.071,0.913,0.037,0.03,0.06,0.057,0.3
1749760304000,inclinado_tras,3,5,-0.536,-0.023,0.844,0.07,0.041,0.096,0.089,0.416
1749760305000,inclinado_tras,3,6,-0.425,0.031,0.905,0.075,0.059,0.083,0.082,0.387
1749760306000,inclinado_tras,3,7,-0.392,-0.0,0.92,0.083,0.089,0.1,0.097,0.461
1749760307000,inclinado_tras,3,8,-0.405,-0.0,0.914,0.048,0.071,0.1,0.093,0.511
1749760308000,inclinado_tras,3,9,-0.392,-0.018,0.92,0.09,0.095,0.044,0.054,0.271
1749760309000,inclinado_tras,3,10,-0.477,0.047,0.878,0.061,0.099,0.099,0.092,0.496
1749760310000,inclinado_tras,3,11,-0.375,0.004,0.927,0.052,0.068,0.069,0.067,0.336
1749760311000,inclinado_tras,3,12,-0.409,-0.018,0.913,0.082,0.053,0.053,0.059,0.273
1749760312000,inclinado_tras,3,13,-0.366,-0.104,0.925,0.061,0.046,0.083,0.08,0.406
1749760313000,inclinado_tras,3,14,-0.447,0.046,0.894,0.042,0.076,0.049,0.048,0.219
1749760314000,inclinado_tras,3,15,-0.392,-0.048,0.919,0.032,0.089,0.041,0.04,0.203
1749760315000,inclinado_tras,3,16,-0.381,-0.076,0.922,0.035,0.086,0.093,0.087,0.39
1749760316000,inclinado_tras,3,17,-0.436,0.047,0.899,0.068,0.041,0.044,0.05,0.257
1749760317000,inclinado_tras,3,18,-0.461,-0.083,0.884,0.097,0.065,0.051,0.064,0.317
1749760318000,inclinado_tras,3,19,-0.33,-0.113,0.938,0.033,0.055,0.08,0.076,0.343
1749760319000,inclinado_tras,3,20,-0.545,0.019,0.838,0.073,0.084,0.087,0.083,0.432
1749760320000,inclinado_tras,3,21,-0.357,-0.055,0.933,0.072,0.047,0.033,0.04,0.19
1749760321000,inclinado_tras,3,22,-0.518,0.032,0.855,0.042,0.088,0.095,0.084,0.395
1749760322000,inclinado_tras,3,23,-0.384,-0.009,0.923,0.095,0.097,0.031,0.046,0.243
1749760323000,inclinado_tras,3,24,-0.452,0.03,0.892,0.098,0.069,0.035,0.054,0.291
1749760324000,inclinado_tras,3,25,-0.346,-0.211,0.917,0.059,0.07,0.041,0.045,0.236
1749760325000,inclinado_tras,3,26,-0.491,0.072,0.869,0.089,0.063,0.066,0.072,0.347
1749760326000,inclinado_tras,3,27,-0.459,-0.071,0.886,0.056,0.042,0.045,0.048,0.237
1749760327000,inclinado_tras,3,28,-0.476,0.09,0.876,0.045,0.09,0.056,0.054,0.292
1749760328000,inclinado_tras,3,29,-0.465,-0.056,0.884,0.095,0.048,0.079,0.082,0.451
1749760329000,inclinado_tras,3,30,-0.446,-0.126,0.888,0.077,0.054,0.035,0.047,0.233
1749760330000,anomalia,3,1,0.004,0.017,1.0,0.468,0.723,0.56,0.56,4.777
1749760331000,anomalia,3,2,0.063,-0.084,0.994,0.625,0.358,0.743,0.74,5.527
1749760332000,anomalia,3,3,-0.019,-0.016,1.0,0.644,0.324,0.443,0.443,2.846
1749760333000,anomalia,3,4,-0.03,0.056,0.998,0.561,0.44,0.316,0.317,2.485
1749760334000,anomalia,3,5,-0.093,0.054,0.994,0.354,0.307,0.424,0.423,3.12
1749760335000,anomalia,3,6,0.012,-0.039,0.999,0.489,0.565,0.597,0.597,3.619
1749760336000,anomalia,3,7,0.014,-0.054,0.998,0.511,0.35,0.691,0.691,6.096
1749760337000,anomalia,3,8,0.016,0.067,0.998,0.682,0.442,0.694,0.693,5.471
1749760338000,anomalia,3,9,-0.037,0.154,0.987,0.321,0.522,0.573,0.572,3.684
1749760339000,anomalia,3,10,-0.098,0.078,0.992,0.308,0.526,0.721,0.717,5.002
1749760340000,anomalia,3,11,-0.088,0.124,0.988,0.537,0.365,0.326,0.329,2.904
1749760341000,anomalia,3,12,0.011,-0.002,1.0,0.345,0.512,0.765,0.765,5.743
1749760342000,anomalia,3,13,-0.055,0.009,0.998,0.552,0.73,0.524,0.524,3.585
1749760343000,anomalia,3,14,-0.181,0.014,0.983,0.565,0.788,0.393,0.4,2.763
1749760344000,anomalia,3,15,-0.028,0.008,1.0,0.4,0.64,0.391,0.391,3.135
1749760345000,anomalia,3,16,0.021,0.064,0.998,0.474,0.658,0.533,0.534,3.781
1749760346000,anomalia,3,17,-0.069,0.046,0.997,0.407,0.75,0.471,0.472,2.886
1749760347000,anomalia,3,18,-0.085,0.081,0.993,0.419,0.674,0.365,0.369,3.104
1749760348000,anomalia,3,19,-0.034,-0.126,0.991,0.655,0.657,0.796,0.794,5.579
1749760349000,anomalia,3,20,0.019,0.027,0.999,0.567,0.389,0.607,0.606,3.664
1749760350000,anomalia,3,21,0.037,-0.014,0.999,0.32,0.354,0.42,0.42,2.865
1749760351000,anomalia,3,22,0.004,-0.09,0.996,0.489,0.493,0.47,0.47,3.28
1749760352000,anomalia,3,23,0.028,0.027,0.999,0.401,0.678,0.795,0.795,6.985
1749760353000,anomalia,3,24,-0.007,-0.033,0.999,0.457,0.687,0.682,0.682,5.823
1749760354000,anomalia,3,25,0.009,0.057,0.998,0.683,0.703,0.454,0.455,4.001
1749760355000,anomalia,3,26,-0.126,0.108,0.986,0.685,0.347,0.628,0.627,3.823
1749760356000,anomalia,3,27,-0.02,-0.036,0.999,0.601,0.728,0.349,0.35,2.388
1749760357000,anomalia,3,28,0.027,0.035,0.999,0.524,0.433,0.496,0.496,3.611
1749760358000,anomalia,3,29,0.004,0.008,1.0,0.747,0.513,0.464,0.464,3.483
1749760359000,anomalia,3,30,-0.056,0.005,0.998,0.551,0.376,0.476,0.476,3.666
